Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Zealium,0.0031,0.0034,- 35.74,46.99,N/A,27.72 K,14.61,181,2,8.00,0.0450,-92.45,0.00001188,-96.38
Dix Asset,1.30,0.00000027,- 33.60,- 100.00,N/A,27.44 K,0.00,17,25,17.00,1.57,-100.00,0.0016,-100.00
Acoin,0.0588,0.0217,- 31.64,- 85.44,N/A,26.47 K,0.00,0.3667,53,25.00,0.4425,-95.10,0.0002,-98.35
FUTURAX,0.00009738,0.00000771,- 49.16,- 72.42,N/A,26.25 K,26.35 K,12005,5,17.00,0.0005,-98.34,0.00000007,-100.00
MojoCoin,0.0020,0.0021,- 44.93,- 49.59,N/A,26.19 K,273.61,0.5667,34,17.00,0.2772,-99.23,0.00002094,-98.71
iBTC,0.0132,0.0009,- 52.75,- 93.95,N/A,25.94 K,184.71,859,15,17.00,0.1885,-99.50,0.00003001,-99.60
BitCoin One,0.0031,0.0003,- 25.73,- 83.05,N/A,25.91 K,148.74,573,6,8.00,0.0076,-95.39,0.00000107,-96.27
Safe Trade Coin,0.00002921,0.00007902,- 18.64,133.84,N/A,25.82 K,9.15,34,25,25.00,0.0272,-99.71,0.00000240,-99.58
Titcoin,0.0071,0.0004,- 40.15,- 96.14,N/A,25.43 K,4.86,23,53,25.00,0.0648,-99.39,0.00004988,-99.90
ICOBID,0.0003,0.0002,- 17.48,- 64.28,N/A,25.38 K,9.91,0.8333,25,25.00,0.0128,-98.14,0.00000095,-96.84
Speedcash,0.0354,0.0423,12.49,- 24.58,N/A,24.30 K,110.26,1016,21,50.00,3.60,-98.83,0.0004,-98.64
ParkByte,0.0015,0.0051,- 42.10,105.88,N/A,24.09 K,0.8300,1,45,17.00,2.81,-99.82,0.0003,-99.79
PostCoin,0.0009,0.0015,- 39.61,- 18.88,N/A,23.91 K,201.68,9,34,33.00,0.1068,-98.59,0.00001577,-98.80
Escroco Emerald,0.0002,0.00003951,- 24.48,- 81.62,N/A,23.90 K,8.86,29,3,0.00,0.0002,-79.34,0.00000005,-100.00
Italo,0.0045,0.0102,- 25.54,281.36,N/A,23.63 K,617.06,609,1,0.00,0.0242,-57.77,0.00000693,-81.37
Posscoin,0.00000202,0.00000078,- 22.00,- 48.50,N/A,23.54 K,44.84 K,72,3,8.00,0.00000425,-81.58,0.00000000,-100.00
AltCommunity Coin,5.51,0.0138,- 25.94,- 99.38,N/A,23.47 K,23.67,77,15,25.00,23.80,-99.94,0.0019,-99.91
YoloCash,0.0012,0.0008,- 45.55,- 76.16,N/A,23.18 K,4.22 K,2180,6,25.00,0.0091,-91.39,0.00000140,-92.88
Phantomx,0.0167,0.0006,- 32.47,- 98.77,N/A,22.76 K,17.17,28,15,17.00,0.3532,-99.84,0.00002790,-99.75
EthBet,0.2067,0.0025,- 42.05,- 98.77,N/A,21.63 K,0.00,0,16,42.00,0.8454,-99.70,0.00005807,-98.73
Etheriya,1.18,0.0136,- 34.59,- 93.04,N/A,21.57 K,0.00,5,18,8.00,3.46,-99.61,0.0007,-99.76
BoostCoin,0.0836,0.0017,- 31.33,- 97.92,N/A,20.61 K,0.7500,0.2069,56,25.00,0.5939,-99.71,0.0003,-99.92
Bitspace,0.0005,0.0015,- 6.38,14.03,N/A,20.43 K,42.26,5,4,17.00,0.0058,-74.30,0.00000151,-87.38
Tourist Token,0.00005382,0.00000544,- 19.38,- 77.01,N/A,20.31 K,36.32 K,24470,6,17.00,0.0003,-98.07,0.00000004,-100.00
Dollarcoin,0.0020,0.0022,- 41.54,- 49.61,N/A,20.15 K,4.17,4,28,17.00,0.2585,-99.14,0.00006013,-99.53
MustangCoin,0.0010,0.0319,- 18.31,1265.48,N/A,20.12 K,1.88,9,28,33.00,1.04,-96.93,0.00008784,-95.41
Dystem,0.0999,0.0036,- 50.28,- 86.62,N/A,20.10 K,46.12,60,6,17.00,0.2270,-98.43,0.00003705,-98.79
Iqcash,0.0317,0.0051,- 47.69,- 85.62,N/A,19.95 K,61.35,49,5,8.00,0.1498,-96.58,0.00002252,-97.11
Centurion,0.0651,0.0003,- 33.06,- 99.53,N/A,19.76 K,10.02,67,23,17.00,0.2510,-99.90,0.00005413,-99.94
FuzzBalls,0.0004,0.0040,- 36.21,222.19,N/A,19.46 K,1.68,5,33,42.00,0.3844,-98.95,0.00002794,-98.17
Litecred,0.0003,0.0006,- 23.02,17.69,N/A,19.34 K,0.00,0.1333,37,33.00,0.0085,-92.47,0.00000324,-97.53
Bank Coin,0.0388,0.0031,- 42.48,- 91.96,N/A,19.30 K,0.00,57,9,17.00,0.0659,-95.26,0.00000858,-89.51
RedCoin,0.0127,0.0003,- 23.93,- 97.97,N/A,19.15 K,0.00,21,60,25.00,0.0259,-99.00,0.00002197,-99.68
FLiK,0.0390,0.0003,- 36.83,- 99.65,N/A,18.88 K,0.00,14,16,33.00,0.3186,-99.90,0.00005618,-99.93
Neuro,0.0035,0.0003,- 14.00,- 94.02,N/A,18.77 K,77.55,18,20,8.00,0.0324,-99.03,0.00001295,-99.69
Eurocoin,0.0004,0.0015,- 10.83,378.71,N/A,18.64 K,9.59,8,41,17.00,0.0937,-98.40,0.00000650,-97.08
PrimeStone,0.0012,0.0022,- 7.94,544.59,N/A,18.49 K,18.27,854,4,17.00,0.0730,-96.97,0.00001750,-98.40
ParallelCoin,0.0084,0.0586,- 39.03,606.47,N/A,18.43 K,3.11,137,39,17.00,3.62,-98.38,0.0048,-99.85
High Voltage,0.0044,0.0123,- 28.31,135.37,N/A,18.42 K,1.47,4,32,33.00,1.65,-99.25,0.0002,-99.25
CompuCoin,0.0002,0.0009,- 28.19,496.74,N/A,18.06 K,0.00,0,43,33.00,0.0322,-97.14,0.00000264,-89.77
PyrexCoin,0.0573,0.0015,- 44.03,- 96.42,N/A,17.93 K,117.61,86,4,0.00,0.9308,-99.84,0.0002,-99.88
Graphcoin,0.0416,0.0022,- 61.95,- 96.34,N/A,17.53 K,0.00,94,5,17.00,0.0758,-97.04,0.00001179,-97.63
AlpaCoin,0.0068,0.0017,- 52.28,- 94.62,N/A,17.25 K,18.86 K,6,3,8.00,0.0063,-72.64,0.00000103,-78.54
KingN Coin,13.27,8.58,- 13.08,- 43.47,N/A,17.24 K,0.00,40,19,42.00,96.87,-91.14,0.0300,-96.39
Doubloon,0.0014,0.0002,- 35.77,- 83.11,N/A,17.22 K,8.51,6,24,25.00,0.0312,-99.24,0.00000210,-98.57
TajCoin,0.0003,0.0014,- 27.54,243.48,N/A,17.19 K,0.8700,11,30,8.00,0.0635,-97.76,0.00000719,-97.50
Cryptrust,0.00001774,0.00000298,- 37.64,- 84.52,N/A,16.65 K,18.16 K,7553,5,8.00,0.00005239,-94.32,0.00000001,-100.00
Qurito,0.0261,0.0016,- 3.39,- 70.39,N/A,16.57 K,1.47,303,7,17.00,0.3363,-99.53,0.00005213,-99.62
Sola Token,0.0043,0.0006,- 34.04,- 58.80,N/A,16.52 K,0.00,70,4,17.00,0.0098,-94.19,0.00000152,-95.40
Eryllium,0.0072,0.0012,- 27.96,- 85.93,N/A,16.42 K,0.00,4,24,17.00,0.4382,-99.73,0.00003859,-99.61
Cyber Movie Chain,0.00002021,0.00000081,- 72.68,- 97.89,N/A,16.20 K,6.41 K,2141,4,8.00,0.00003141,-97.42,0.00000000,-100.00
Sharpe Platform Token,0.2425,0.0009,- 30.32,- 84.28,N/A,16.19 K,0.00,3321,11,25.00,0.3103,-99.70,0.00003553,-99.66
SecureCoin,0.0535,0.0016,- 46.66,- 98.06,N/A,16.00 K,0.00,7,64,25.00,1.12,-99.86,0.0014,-99.99
AdultChain,0.0214,0.0003,- 32.70,- 95.54,N/A,15.78 K,32.35,88,6,0.00,0.0260,-98.79,0.00000372,-98.92
GambleCoin,0.0623,0.0017,- 39.54,- 97.86,N/A,14.83 K,0.3900,33,6,0.00,0.0775,-97.76,0.00001214,-98.19
Mirai,0.1348,0.0043,- 44.25,- 95.70,N/A,14.75 K,3.54 K,1944,5,0.00,0.5574,-99.23,0.00008713,-99.38
BrokerNekoNetwork,0.0002,0.00000492,- 34.51,- 96.56,N/A,14.73 K,0.00,347,6,17.00,0.0002,-97.22,0.00000003,-100.00
TravelNote,0.0762,0.0070,- 14.74,- 65.86,N/A,14.50 K,17.75 K,9041,1,0.00,0.0688,-89.88,0.00001858,-95.26
Polcoin,0.0075,0.0002,- 10.65,- 97.54,N/A,14.50 K,0.00,10,58,17.00,0.0086,-97.86,0.00001702,-99.71
Bitcoin Adult,0.0372,0.0005,- 23.46,- 98.34,N/A,14.38 K,0.1200,125,5,0.00,0.0660,-99.28,0.00001006,-99.40
Agrolot,0.3715,0.0010,- 46.08,- 94.22,N/A,14.36 K,1.07 K,18,4,8.00,0.7146,-99.85,0.0001,-99.88
PosEx,0.3579,0.0058,- 21.53,- 98.63,N/A,14.15 K,12.18,4,34,33.00,0.0644,-91.04,0.00007382,-99.01
ZoZoCoin,2.91,0.0071,- 0.33,- 98.62,N/A,13.88 K,0.00,104,14,33.00,3.14,-99.77,0.0004,-99.77
Bionic,0.0001,0.00002572,- 28.79,- 79.73,N/A,13.79 K,22.75 K,9843,5,17.00,0.0014,-98.22,0.00000020,-100.00
Californium,0.1977,0.0056,- 43.38,- 98.04,N/A,13.72 K,0.00,0.3667,46,33.00,0.0866,-93.52,0.00004698,-98.49
Sub Invest,0.00000025,0.00000003,- 35.62,- 86.25,N/A,13.68 K,0.00,76,3,0.00,0.00000032,-89.24,0.00000000,-100.00
Fintab,0.0384,0.0047,- 55.79,- 94.30,N/A,12.96 K,111.15,22,6,0.00,0.0566,-91.77,0.00000839,-92.97
Independent Money System,0.0003,0.0024,- 27.55,551.63,N/A,12.73 K,8.22,3,35,8.00,0.3043,-99.22,0.00002479,-98.79
BZLCOIN,0.0057,0.0059,- 25.19,105.23,N/A,12.54 K,13.36,59,3,8.00,0.0506,-88.26,0.00001161,-93.54
CatoCoin,0.5811,0.0023,- 51.79,- 97.43,N/A,12.53 K,0.0300,2672,6,0.00,0.9489,-99.76,0.0001,-99.79
Eternity,0.0134,0.0022,- 39.30,- 85.36,N/A,12.28 K,136.02,14,26,25.00,1.33,-99.83,0.0001,-99.75
Zayedcoin,0.0105,0.0019,- 31.82,- 88.40,N/A,11.91 K,0.00,3,29,33.00,0.0232,-91.79,0.00002475,-99.03
Datacoin,0.5465,0.0003,- 37.66,- 99.69,N/A,11.66 K,0.6300,9,62,25.00,0.9579,-99.97,0.0011,-100.00
KUN,4.49,5.74,- 28.98,10.12,N/A,11.47 K,6.70 K,7791,4,17.00,15.54,-63.09,0.0024,-70.38
Steneum Coin,0.6936,0.0037,- 55.43,- 99.47,N/A,10.73 K,0.00,52,13,17.00,1.86,-99.80,0.0002,-99.36
Bankcoin,0.4994,0.0010,- 20.58,- 99.81,N/A,10.61 K,44.95,6,22,17.00,4.20,-99.98,0.0018,-99.99
Honey,0.1152,0.0229,- 43.82,- 70.53,N/A,10.46 K,9.66,18,23,8.00,5.66,-99.60,0.0046,-99.94
Nekonium,0.0693,0.0009,- 26.33,- 98.77,N/A,10.43 K,52.77,40,14,33.00,0.8893,-99.90,0.00006500,-99.83
Printex,0.0374,0.0004,- 39.95,- 97.17,N/A,10.40 K,10.75,65,5,0.00,0.0377,-98.95,0.00000534,-99.06
Atomic Coin,0.0008,0.0006,- 27.49,109.19,N/A,10.36 K,0.00,4,28,25.00,0.2590,-99.78,0.00003661,-99.81
Dinero,0.0049,0.0011,- 43.69,- 62.03,N/A,10.26 K,1.26 K,921,5,8.00,0.0188,-93.90,0.00000362,-96.13
Comet,0.0081,0.0110,- 44.32,- 19.31,N/A,9.59 K,22.93,51,31,17.00,0.6944,-98.42,0.0003,-99.48
ARbit,0.0091,0.0009,- 40.36,- 96.24,N/A,9.41 K,1.38,3,45,17.00,0.0464,-98.13,0.00003236,-99.66
MiloCoin,0.0043,0.0009,- 32.80,- 87.95,N/A,9.38 K,12.14,3,23,25.00,0.0989,-99.12,0.00007751,-99.86
BumbaCoin,0.0002,0.0004,- 46.17,- 2.17,N/A,9.05 K,0.00,2,34,17.00,0.0338,-98.85,0.00000498,-99.00
SOILcoin,0.0023,0.0016,- 30.26,- 32.04,N/A,8.99 K,0.00,2,39,25.00,0.1202,-98.69,0.00009213,-99.50
Ragnarok,0.0131,0.0007,- 49.94,- 93.75,N/A,8.92 K,1.22,116,4,8.00,0.0078,-90.86,0.00000119,-92.44
Dalecoin,0.1345,0.0139,- 33.32,- 89.21,N/A,8.71 K,25.18,9,17,25.00,2.85,-99.51,0.0006,-99.72
BowsCoin,0.0001,0.0016,- 38.97,386.37,N/A,8.63 K,0.00,0.2000,43,42.00,0.0225,-93.08,0.00000426,-95.30
iBank,0.0006,0.0018,- 18.65,88.48,N/A,8.23 K,6.35,3,24,42.00,0.0223,-91.84,0.00000184,-87.50
Flaxscript,0.0031,0.0014,- 28.43,- 53.01,N/A,8.10 K,0.00,3,42,17.00,0.0876,-98.36,0.00001492,-97.19
LiteCoin Ultra,0.0409,0.0077,- 35.18,- 88.68,N/A,7.94 K,0.00,3,17,33.00,0.7925,-99.03,0.00005895,-98.35
Iconic,0.0192,0.0133,- 35.77,- 52.28,N/A,7.87 K,24.55,4,24,8.00,0.5305,-97.50,0.00007800,-97.85
BitMoney,0.0136,0.00009365,- 70.98,- 96.92,N/A,7.73 K,55.17,1208,4,0.00,0.0516,-99.82,0.00000808,-99.88
SongCoin,0.0011,0.0002,- 39.29,- 90.97,N/A,7.61 K,12.60,630,47,25.00,0.0198,-98.82,0.00001096,-99.73
Trident Group,0.4149,0.0062,- 12.43,- 96.52,N/A,7.51 K,0.00,0.9000,14,33.00,2.31,-99.73,0.0002,-99.49
Crystal Token,0.1698,0.0129,- 6.93,- 27.26,N/A,7.30 K,50.22 K,43911,3,8.00,0.9303,-98.61,0.0001,-98.89
CryptoFlow,0.0077,0.00007902,- 30.10,- 76.31,N/A,7.27 K,440.50,1719,5,17.00,0.0165,-99.52,0.00000255,-99.61
WhaleCoin,0.1992,0.0007,- 62.31,- 99.65,N/A,7.12 K,0.00,10047,16,17.00,0.6829,-99.90,0.00006066,-99.67
Mero,0.1115,0.0013,7.32,- 99.14,N/A,7.03 K,144.18,38,6,17.00,0.1080,-98.83,0.00001663,-99.04
Prime-XI,0.0011,0.0003,- 31.77,- 81.99,N/A,6.93 K,0.00,4,52,17.00,0.0814,-99.61,0.00001574,-99.75
Veltor,0.0210,0.0123,- 46.65,- 78.95,N/A,6.84 K,7.59,12,29,17.00,3.76,-99.67,0.0014,-99.89
FolmCoin,0.0083,0.0007,- 27.87,- 81.69,N/A,6.75 K,7.55,149,5,17.00,0.0212,-96.71,0.00000331,-97.28
Bitcoin X,0.0050,0.0024,- 75.70,- 71.78,N/A,6.74 K,169.63,334,3,8.00,0.0788,-97.02,0.00001756,-98.29
Qbic,30.71,0.0014,- 53.45,- 99.99,N/A,6.66 K,0.2600,34,12,17.00,15.63,-99.99,0.0016,-99.99
EcoCoin,5.76,0.0056,- 22.26,- 99.90,N/A,6.56 K,0.00,10,20,25.00,4.76,-99.88,0.0018,-99.91
Cannation,0.0071,0.0026,- 39.87,- 70.48,N/A,6.49 K,0.00,327,21,33.00,0.3983,-99.34,0.00003997,-99.17
BenjiRolls,0.00001788,0.0003,- 41.47,473.59,N/A,6.49 K,0.00,104,25,17.00,0.0256,-98.75,0.00000177,-97.74
INDINODE,0.0003,0.00000790,- 35.73,- 87.72,N/A,6.48 K,13.83,63,4,0.00,0.0003,-96.95,0.00000004,-100.00
CoinonatX,0.0324,0.0003,- 70.15,- 99.79,N/A,6.18 K,2.90,4,18,17.00,0.4627,-99.93,0.00003220,-99.88
Ammo Reloaded,0.0005,0.00007816,28.34,- 74.23,N/A,6.08 K,0.00,2,20,17.00,0.0295,-99.74,0.00000250,-99.60
PoSToken,0.8922,0.0057,- 37.85,- 99.36,N/A,5.94 K,0.00,1,16,25.00,3.32,-99.83,0.0003,-99.39
SocialCoin,0.0071,0.0006,- 74.44,- 96.62,N/A,5.82 K,153.83,1338,19,33.00,0.1341,-99.59,0.00002590,-99.73
Vector,0.0003,0.0003,- 48.84,- 13.16,N/A,5.82 K,19.98 K,2,41,25.00,0.0309,-98.98,0.00000377,-98.94
Cabbage,0.0034,0.0006,- 39.50,- 88.84,N/A,5.81 K,22.64,2,34,42.00,0.0550,-98.99,0.00000880,-99.20
JavaScript Token,0.0022,0.0007,- 35.59,- 31.49,N/A,5.68 K,1.56,4,15,58.00,0.0339,-97.90,0.00000349,-97.42
PlayerCoin,0.0010,0.0002,- 8.66,- 80.70,N/A,5.56 K,269.04,82,15,25.00,0.0082,-98.07,0.00000057,-96.49
C-Bit,0.0200,0.00003464,- 51.53,- 99.83,N/A,5.46 K,0.00,4,35,17.00,0.0137,-99.75,0.00000269,-99.63
PLNcoin,0.0022,0.0003,- 42.68,- 89.17,N/A,5.40 K,1.89,0.8000,58,33.00,0.0124,-97.46,0.00002705,-99.85
Xchange,0.2207,0.0006,- 62.57,- 98.59,N/A,5.39 K,1.64,665,5,0.00,0.3697,-99.85,0.00005598,-99.87
Rhenium,0.2501,0.0002,- 52.38,- 99.95,N/A,5.35 K,0.00,12,8,0.00,0.2516,-99.94,0.00003294,-99.94
Bitvolt,0.0002,0.0003,- 38.23,- 19.44,N/A,5.24 K,8.84,4,21,33.00,0.0095,-96.68,0.00000072,-94.44
LiteBitcoin,0.0019,0.0002,- 41.76,- 94.56,N/A,5.20 K,1.79,120,19,25.00,0.0553,-99.68,0.00000665,-99.70
ACRE,0.6222,0.0012,- 67.21,- 99.84,N/A,5.19 K,3.64,17,6,17.00,0.5651,-99.79,0.00008857,-99.83
Archetypal Network,0.00001498,0.00000107,- 47.58,- 90.89,N/A,5.18 K,0.0300,39,4,8.00,0.00004926,-97.82,0.00000001,-100.00
UralsCoin,0.0006,0.0004,- 13.62,22.85,N/A,5.14 K,5.78,28,5,17.00,0.0030,-86.68,0.00000053,-90.64
Wild Beast Block,0.3052,0.0281,- 36.16,- 95.44,N/A,5.12 K,4.34,2,47,33.00,2.65,-98.94,0.0011,-99.69
Virtacoin,0.00002313,0.00000096,- 43.36,- 94.97,N/A,4.97 K,0.5700,0,54,8.00,0.0045,-99.98,0.00000032,-100.00
Bitcoin Planet,0.0144,0.0007,- 31.96,- 93.51,N/A,4.84 K,17.59,7,19,33.00,0.1556,-99.54,0.00002294,-99.61
Fujinto,0.3170,0.00006899,- 28.79,- 99.98,N/A,4.54 K,9.35,14,17,25.00,0.2692,-99.97,0.00007075,-99.97
HomeBlockCoin,6.12,0.0009,- 58.55,- 99.99,N/A,4.48 K,0.3500,45,13,25.00,8.14,-99.99,0.0005,-99.95
BitCoal,0.0056,0.0009,- 71.36,- 78.00,N/A,3.91 K,37.27,32,19,17.00,0.3705,-99.77,0.00002592,-99.58
BitQuark,0.0057,0.0003,- 6.78,- 94.05,N/A,3.80 K,6.38,25,54,25.00,0.1381,-99.75,0.00001602,-99.38
QYNO,0.1279,0.0034,- 47.26,- 77.27,N/A,3.69 K,776.56,13910,5,17.00,1.92,-99.82,0.0003,-99.88
BROTHER,0.0002,0.00002201,- 13.43,- 52.95,N/A,3.52 K,0.00,2181,17,33.00,0.0118,-99.81,0.00000092,-100.00
Coinonat,0.0008,0.0004,- 60.23,- 89.08,N/A,3.43 K,0.00,172,22,8.00,0.1694,-99.77,0.00007868,-99.94
Ourcoin,1.09,0.0052,- 27.54,- 98.40,N/A,3.22 K,679.21,1505,4,8.00,1.58,-99.67,0.0002,-99.72
Peony,0.0012,0.0073,- 47.02,- 39.08,N/A,3.03 K,69.39,3654,3,8.00,0.0073,0.00,0.00000097,-4.39
ROIyal Coin,0.2967,0.0042,- 13.42,- 74.63,N/A,2.97 K,64.66,25940,1,0.00,0.3112,-98.65,0.00008681,-99.39
Staker,0.0344,0.0021,- 33.83,- 89.17,N/A,2.93 K,16.25,7,5,0.00,0.0806,-97.45,0.00001238,-97.90
CrevaCoin,0.0118,0.00007902,- 18.98,- 99.42,N/A,2.88 K,1.58,34,43,33.00,0.1139,-99.93,0.0002,-100.00
Concoin,0.0015,0.0035,28.18,484.23,N/A,2.60 K,0.00,33,22,42.00,0.0519,-93.26,0.00001848,-97.62
Abulaba,0.3343,0.0002,- 82.06,- 99.98,N/A,2.38 K,11.43 K,2029,5,0.00,0.5940,-99.97,0.00008853,-99.98
Interzone,0.8002,0.0009,- 50.44,- 99.97,N/A,2.31 K,12.78,2,16,33.00,0.5666,-99.85,0.0001,-99.91
CoinToGo,0.5971,0.0002,- 65.48,- 95.88,N/A,2.19 K,123.12,8612,3,0.00,0.6800,-99.97,0.0001,-99.97
GeertCoin,0.0020,0.0004,- 37.50,- 78.77,N/A,2.18 K,0.00,0.1333,23,17.00,0.0364,-98.82,0.00000253,-95.25
PonziCoin,0.0364,0.0025,10.92,- 69.34,N/A,2.18 K,26.19,162,33,33.00,0.2068,-98.78,0.00003100,-98.97
Benz,0.0036,0.0004,- 49.62,- 93.99,N/A,2.16 K,699.34,258,4,8.00,0.0033,-89.07,0.00000053,-90.54
Save and Gain,0.00008773,0.0006,- 15.40,522.71,N/A,1.94 K,8.74,0.3333,40,33.00,0.1468,-99.57,0.00001294,-99.38
Coimatic 2.0,0.0034,0.0001,- 24.42,- 95.93,N/A,1.88 K,0.00,2,18,33.00,0.0184,-99.24,0.00000456,-99.12
Dollar Online,0.0153,0.0024,- 24.06,- 84.13,N/A,1.85 K,6.19,10,26,17.00,0.1537,-98.41,0.00002990,-97.63
Allion,0.0018,0.0003,- 63.84,- 83.44,N/A,1.80 K,0.00,44,23,17.00,0.1186,-99.76,0.00002000,-99.60
Asiadigicoin,0.0150,0.00007149,- 52.16,- 99.52,N/A,1.78 K,0.00,1718,35,25.00,1.59,-100.00,0.0034,-100.00
Project-X,440188.00,19753.94,- 23.01,- 96.12,N/A,1.55 K,126.65,104,20,25.00,2530660.00,-99.22,400.00,-99.38
VapersCoin,0.00000588,0.00000196,- 28.61,- 66.77,N/A,1.53 K,0.00,2,30,17.00,0.0009,-99.77,0.00000008,-100.00
Magnum,0.0069,0.0003,- 5.51,- 96.03,N/A,1.42 K,31.61,179,24,25.00,0.0516,-99.39,0.00003224,-99.88
AnarchistsPrime,0.0004,0.0003,- 38.44,31.43,N/A,1.41 K,0.00,14,43,33.00,1.74,-99.98,0.0007,-99.99
Coupecoin,0.00002531,0.00000532,- 50.02,- 79.78,N/A,1.16 K,0.0800,49,19,42.00,0.0007,-99.28,0.00000005,-100.00
Coimatic 3.0,18.94,0.0005,- 23.64,- 100.00,N/A,1.09 K,0.00,2,16,17.00,38.24,-100.00,0.0063,-100.00
Jiyo,0.0112,0.00006939,- 67.52,- 99.38,N/A,1.08 K,0.00,1,14,25.00,2.08,-100.00,0.0003,-99.99
dietbitcoin,0.4708,0.0003,- 36.02,- 99.06,N/A,1.02 K,0.00,0,3,0.00,1.08,-99.97,0.0002,-99.98
Rocketcoin,0.0011,0.00000702,- 66.54,- 97.86,N/A,946.80,0.00,142,3,0.00,0.0014,-99.50,0.00000022,-100.00
MFIT COIN,3.24,0.0003,- 91.31,- 99.96,N/A,551.07,0.00,306,3,0.00,7.02,-100.00,0.0011,-100.00
Argus,0.0908,0.0004,- 57.68,- 99.70,N/A,453.68,6.30,29,23,17.00,0.1150,-99.66,0.00001446,-99.65
SmartFox,3.91,0.0002,- 70.72,- 99.94,N/A,244.55,0.7100,17,4,0.00,2.62,-99.99,0.0004,-100.00
CJs,44.40,0.1245,- 11.65,- 99.85,N/A,213.10,52.75,61,4,8.00,18.75,-99.34,0.0029,-99.46
POLY AI,17.38,0.00004500,- 30.26,- 100.00,N/A,102.70,0.0400,58,14,8.00,21.40,-100.00,0.0015,-100.00
Jiyo [OLD],0.0112,0.00001582,- 52.51,- 98.27,N/A,96.47,0.00,0.8333,14,25.00,2.07,-100.00,0.0003,-100.00
HarmonyCoin,0.0479,0.0002,- 15.08,- 99.64,N/A,94.99,1.31 K,13,18,33.00,0.0623,-99.73,0.00002256,-99.91
SHADE Token,0.0129,0.00000182,- 61.53,- 100.00,N/A,91.23,0.00,1,4,0.00,0.0227,-99.99,0.00000340,-100.00
Infinity Economics,0.0166,0.0020,- 24.52,- 92.15,N/A,0.00,768.73 K,10651535,16,42.00,0.0882,-97.74,0.00001197,-97.91
LightChain,0.0052,0.00003042,- 38.75,- 99.44,N/A,0.00,1.03 MM,213206,13,33.00,0.0076,-99.60,0.00000068,-100.00
Minex,0.6110,0.0037,35.83,- 99.74,N/A,0.00,59.15 K,39,18,25.00,0.8705,-99.57,0.0002,-99.78
GameChain System,0.0667,0.0003,- 40.97,- 99.65,N/A,0.00,51.50,180,13,17.00,0.0399,-99.35,0.00000347,-99.14
Bitbase,2.92,0.0002,- 19.05,- 99.99,N/A,0.00,0.00,6,15,42.00,0.0492,-99.58,0.00000676,-99.11
vSportCoin,0.0033,0.0020,- 48.49,- 86.82,N/A,0.00,68.89 K,9256,5,0.00,0.0044,-54.43,0.00000066,-60.83
MESSE TOKEN,0.0204,0.0194,- 18.11,- 36.54,N/A,0.00,18.29 K,27447,3,8.00,0.0252,-23.18,0.00000541,-54.89
Filecoin [Futures],11.47,5.98,- 10.82,- 76.53,N/A,0.00,9.38 MM,3088182,14,25.00,33.27,-82.02,0.0045,-83.04
RSK Smart Bitcoin,3834.11,7902.11,- 10.66,- 10.64,N/A,0.00,156.77 K,758865,2,0.00,8689.02,-9.06,2.38,-58.03
ValueChain,0.1088,0.0084,- 17.37,- 94.37,N/A,0.00,0.00,0,12,8.00,0.1343,-93.78,0.00001456,-92.79
ONG,1.30,0.2678,- 31.23,- 79.16,N/A,0.00,871.16 K,1229724,5,17.00,4.19,-93.61,0.0006,-87.69
Intelligent Investment Chain,0.0125,0.0004,- 38.40,- 99.40,N/A,0.00,490.67 K,80660,9,8.00,0.0086,-95.30,0.00000104,-95.21
Dutch Coin,0.0003,0.00007902,- 29.26,- 79.57,N/A,0.00,3.10,10,16,25.00,0.0026,-96.91,0.00000019,-94.74
ZenGold,0.3449,0.0009,- 35.84,- 99.75,N/A,0.00,0.00,12424,20,17.00,0.6500,-99.87,0.0002,-99.89
APOT,0.0819,0.0031,- 48.89,- 84.22,N/A,0.00,4.13 K,0,3,8.00,0.1461,-97.90,0.00002303,-98.31
Candy,0.0017,0.00001827,- 22.69,- 98.97,N/A,0.00,26.39 K,854,12,17.00,0.0010,-98.24,0.00000013,-100.00
DynamicCoin,0.1635,0.00007902,- 11.20,- 99.93,N/A,0.00,23.70,17,27,33.00,1.00,-99.99,0.0006,-100.00
ClubCoin,0.1760,0.1180,- 24.30,84.95,N/A,0.00,12.79 K,15364,38,42.00,6.41,-98.16,0.0022,-99.31
Rubex Money,0.0016,0.0003,- 32.04,- 78.33,N/A,0.00,421.68,505,6,17.00,0.0024,-85.44,0.00000036,-72.22
Rocket Pool,1.07,0.5749,- 18.01,- 67.91,N/A,0.00,20.82,4,7,25.00,0.8299,-30.73,0.0001,-48.33
Aces,0.0001,0.00007938,- 18.28,- 75.89,N/A,0.00,0.00,2541,30,25.00,0.0113,-99.30,0.00000085,-98.83
President Johnson,0.0047,0.0008,- 34.17,- 82.56,N/A,0.00,341.77,248,30,17.00,0.4959,-99.83,0.0002,-99.88
Jingtum Tech,0.0367,0.0009,- 18.59,- 98.26,N/A,0.00,10.24 K,4824,13,17.00,0.0170,-94.61,0.00000186,-93.54
Record,0.0418,0.0011,- 35.93,- 97.34,N/A,0.00,0.00,11,7,8.00,0.0780,-98.57,0.00001100,-97.09
