Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Ardor,0.0367,0.0841,- 23.28,34.26,N/A,83.99 MM,2.07 MM,566415,30,25.00,2.03,-95.86,0.0001,-92.78
Crypto.com,2.25,5.26,- 23.18,- 12.02,N/A,83.06 MM,12.74 MM,7087905,19,42.00,24.22,-78.28,0.0055,-88.00
Dent,0.0006,0.0012,- 26.66,54.65,N/A,81.86 MM,12.63 MM,1124479,18,33.00,0.1055,-98.88,0.00000697,-97.85
Dai,0.9152,1.01,- 0.17,7.88,N/A,81.29 MM,74.42 MM,7392193,13,50.00,1.10,-8.56,0.0003,-60.44
Mixin,2320.38,178.85,- 13.30,- 95.87,N/A,79.33 MM,987.27 K,108914,13,17.00,2135.94,-91.63,0.1787,-87.36
Horizen,10.75,12.22,- 36.37,- 63.99,N/A,78.94 MM,3.18 MM,428323,20,33.00,65.16,-81.25,0.0050,-68.84
VestChain,0.0154,0.0111,- 17.24,- 78.05,N/A,78.30 MM,228.75 K,21523,3,0.00,0.0151,-26.98,0.00000348,-59.75
Project Pai,1.31,0.0539,- 40.26,- 97.67,N/A,78.22 MM,13.98 MM,2496559,7,0.00,1.26,-95.73,0.0002,-96.51
MaidSafeCoin,0.0149,0.1721,- 21.85,665.24,N/A,77.88 MM,409.45 K,214381,57,33.00,1.17,-85.25,0.0003,-92.05
aelf,1.10,0.2170,- 32.79,- 91.02,N/A,77.13 MM,19.20 MM,3120054,14,17.00,2.59,-91.63,0.0002,-87.80
DigixDAO,31.90,38.42,- 28.59,- 51.41,N/A,76.83 MM,1.96 MM,392697,34,25.00,553.57,-93.06,0.0745,-93.49
TrueChain,1.13,0.9255,- 19.72,- 80.31,N/A,73.65 MM,75.18 MM,12536574,12,33.00,3.45,-73.15,0.0004,-72.27
MonaCoin,0.0781,1.08,- 26.66,506.23,N/A,70.98 MM,8.02 MM,288219,59,33.00,19.22,-94.38,0.0015,-91.06
GXChain,5.89,1.18,- 26.77,- 90.90,N/A,70.55 MM,29.09 MM,1663896,19,25.00,10.38,-88.67,0.0019,-91.98
Santiment Network Token,0.2616,1.12,- 9.89,52.87,N/A,70.39 MM,561.15 K,57490,19,33.00,7.65,-85.32,0.0005,-71.18
Aion,0.6160,0.2250,- 35.01,- 82.45,N/A,69.65 MM,6.59 MM,2041962,16,33.00,11.10,-97.97,0.0008,-96.27
WAX,4.60,0.0735,- 29.94,- 99.31,N/A,69.31 MM,2.18 MM,529755,14,25.00,2.73,-97.31,0.0002,-94.89
Ark,0.0327,0.6110,- 21.43,1014.72,N/A,68.58 MM,2.47 MM,317264,23,33.00,9.29,-93.42,0.0011,-92.73
HyperCash,20.38,1.43,- 21.61,- 95.57,N/A,62.31 MM,6.92 MM,6852605,18,17.00,38.40,-96.27,0.0088,-97.95
ReddCoin,0.00003477,0.0021,- 24.79,3212.05,N/A,61.43 MM,1.42 MM,411848,60,33.00,0.0266,-92.00,0.00000167,-83.85
ZCoin,0.3678,7.93,- 22.47,1172.50,N/A,59.49 MM,2.00 MM,512116,28,25.00,141.19,-94.38,0.0098,-89.81
Loom Network,0.0760,0.0753,- 28.60,- 47.65,N/A,59.47 MM,7.61 MM,1127803,11,42.00,0.7141,-89.45,0.00007442,-87.22
Decentraland,0.0258,0.0563,- 23.79,34.20,N/A,59.13 MM,18.01 MM,2120757,17,33.00,0.2697,-79.13,0.00002807,-74.67
Clipper Coin,0.0100,0.0156,39.81,- 80.47,N/A,58.84 MM,88.99 K,24574,7,17.00,0.0156,0.00,0.00000197,0.00
Loopring,0.1189,0.0656,- 21.30,- 54.65,N/A,58.76 MM,12.24 MM,3812404,17,33.00,2.09,-96.86,0.0001,-94.25
Clams,0.5720,16.27,- 6.94,147.96,N/A,58.47 MM,313.45 K,8732,53,25.00,16.27,0.00,0.0136,-84.94
LAToken,0.2179,0.1518,- 7.53,- 73.83,N/A,57.02 MM,8.01 MM,3487032,15,33.00,1.87,-91.90,0.0001,-83.71
Elastos,44.01,3.69,- 33.00,- 95.21,N/A,56.60 MM,7.17 MM,1690859,12,17.00,91.56,-95.97,0.0088,-94.70
Populous,2.81,1.05,- 30.56,- 58.38,N/A,55.72 MM,4.42 MM,1611838,19,17.00,73.45,-98.58,0.0073,-98.19
Nebulas Token,4.58,1.22,- 29.07,- 88.53,N/A,55.55 MM,8.91 MM,2192602,17,33.00,15.10,-91.92,0.0013,-87.73
Maximine Coin,0.0061,0.0330,19.10,66.27,N/A,54.41 MM,5.96 MM,882980,6,25.00,0.0330,0.00,0.00000417,0.00
Metaverse ETP,5.78,0.7609,- 42.66,- 91.00,N/A,54.26 MM,43.78 MM,5217034,20,33.00,5.76,-86.78,0.0022,-95.72
Electroneum,0.0944,0.0057,- 27.97,- 92.94,N/A,54.15 MM,1.27 MM,269955,15,33.00,0.1918,-97.01,0.00001302,-94.47
iExec RLC,0.2831,0.6746,- 17.88,- 16.26,N/A,54.02 MM,5.24 MM,592740,22,42.00,4.47,-84.91,0.0005,-83.04
Revain,0.0872,0.1105,- 8.36,68.11,N/A,53.52 MM,2.12 MM,2687040,15,42.00,3.83,-97.11,0.0004,-96.52
Nuls,0.0984,0.7433,- 29.77,284.62,N/A,53.17 MM,13.04 MM,16005363,15,25.00,8.14,-90.87,0.0006,-84.86
MOAC,15.02,0.8189,- 26.36,- 96.98,N/A,51.15 MM,127.95 K,47496,13,17.00,18.29,-95.52,0.0017,-94.05
Power Ledger,0.0563,0.1248,- 21.26,39.31,N/A,50.84 MM,5.81 MM,2364396,15,25.00,1.90,-93.42,0.0001,-87.04
SOLVE,0.1427,0.2151,- 19.23,- 3.89,N/A,48.53 MM,11.81 MM,29473,0,0.00,0.2151,0.00,0.00004403,-38.34
Arcblock,1.14,0.4867,- 28.83,- 94.35,N/A,47.97 MM,14.41 MM,5319025,11,17.00,1.65,-70.54,0.0002,-63.25
WaykiChain,0.9504,0.2488,- 18.98,- 87.36,N/A,47.03 MM,2.80 MM,698194,13,42.00,2.83,-91.21,0.0003,-89.54
Bancor,13.74,0.7635,- 30.63,- 96.59,N/A,46.53 MM,4.75 MM,1449247,20,8.00,10.35,-92.62,0.0013,-92.65
QASH,0.4825,0.1323,- 32.94,- 86.56,N/A,46.31 MM,1.05 MM,239720,15,17.00,2.48,-94.66,0.0002,-90.47
Wanchain,4.37,0.4153,- 36.50,- 94.01,N/A,44.09 MM,2.81 MM,2358222,10,17.00,9.82,-95.77,0.0010,-94.85
FunFair,0.0174,0.0067,- 33.39,- 77.65,N/A,43.85 MM,2.63 MM,1000713,19,17.00,0.1863,-96.41,0.00001227,-93.07
Bread,1.55,0.4848,- 18.14,- 87.75,N/A,43.02 MM,921.16 K,178464,13,25.00,3.29,-85.27,0.0002,-69.66
Kyber Network,1.85,0.2562,- 34.59,- 93.74,N/A,42.70 MM,10.78 MM,2077008,16,17.00,5.84,-95.61,0.0005,-93.40
Particl,6.80,5.29,0.2936,- 66.91,N/A,42.67 MM,695.06 K,133353,19,25.00,46.68,-88.67,0.0035,-80.96
Veritaseum,48.96,19.79,- 31.32,- 73.80,N/A,42.55 MM,4.99 MM,1563834,20,8.00,474.09,-95.83,0.0889,-97.19
Nxt,0.0151,0.0416,- 27.74,63.33,N/A,41.60 MM,1.98 MM,283307,62,17.00,1.94,-97.85,0.0001,-96.20
Polymath,0.7905,0.0973,- 32.29,- 89.06,N/A,41.15 MM,14.65 MM,2058745,12,42.00,1.59,-93.87,0.0001,-91.59
Nexo,0.1906,0.0714,- 29.28,- 68.57,N/A,40.00 MM,11.35 MM,4068257,9,17.00,0.4159,-82.83,0.00004464,-79.79
CasinoCoin,0.0052,0.0010,- 13.83,- 96.68,N/A,39.71 MM,10.69 K,2578,66,25.00,0.5299,-99.81,0.0001,-99.89
Energi,0.2646,2.41,- 19.80,130.69,N/A,38.95 MM,268.34 K,180486,5,33.00,2.80,-13.74,0.0008,-60.03
