Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Age (mo),Winning months,Avg. volume,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
AgaveCoin,0.0079,0.0563,1.17,586.67,23064075,21.98 MM,27.80 K,8310,11,42.00,0.0804,-30.01,0.00000911,-17.01
Loopring,0.1189,0.0240,- 9.95,- 78.94,26054401,21.96 MM,2.22 MM,5235857,27,25.00,2.09,-98.85,0.0001,-97.77
Walton,1.06,0.5082,- 22.42,- 49.20,28032889,21.88 MM,2.27 MM,6037675,27,42.00,43.89,-98.84,0.0038,-98.19
WAXP,4.60,0.0232,- 15.06,- 99.46,20574461,21.85 MM,303.11 K,632607,23,33.00,2.73,-99.15,0.0002,-98.29
Nebulas Token,4.58,0.4198,- 14.52,- 90.82,27370537,21.81 MM,3.42 MM,10127724,27,42.00,15.10,-97.22,0.0013,-95.51
Swace,0.0117,0.0829,- 6.32,- 74.42,475196,21.71 MM,691.74,201,4,8.00,0.0829,0.00,0.00001113,0.00
Nuls,0.0984,0.2920,- 11.51,210.73,26486666,21.54 MM,2.81 MM,2459881,25,42.00,8.14,-96.41,0.0006,-93.68
IoTeX,0.0320,0.0040,- 3.82,- 87.70,23186455,21.35 MM,1.27 MM,2408841,18,33.00,0.0683,-94.21,0.00000918,-94.23
Harmony,0.0207,0.0062,- 12.66,- 71.95,14914120,20.76 MM,5.84 MM,4115086,6,8.00,0.0277,-77.73,0.00000351,-76.39
CasinoCoin,0.0052,0.0005,- 2.03,- 91.73,11860290,20.71 MM,82.88 K,26503,76,33.00,0.5299,-99.90,0.0001,-99.94
Ark,0.0327,0.1768,- 6.44,471.79,22761110,20.62 MM,846.37 K,764222,32,33.00,9.29,-98.10,0.0011,-97.76
Loom Network,0.0760,0.0209,- 15.72,- 76.09,19725467,20.23 MM,4.28 MM,2284984,21,25.00,0.7141,-97.08,0.00007442,-96.24
