Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap
Bela,904,,BELA,0.0176,0.00000222,-10.90,-11.16,34.16,147.29,44.84,21.78,-52.02,-80.38
AquariusCoin,1100,,ARCO,0.1106,0.00001397,-0.13,24.02,24.02,283.91,266.34,270.72,74.48,-34.34
Ordocoin,1604,,RDC,0.00000790,0.0000,-0.12,-2.80,30.23,121.04,-34.87,97.10,-59.42,
SaveNode,1613,,SNO,0.0004,0.00000005,-0.12,-6.32,97.10,-16.79,-64.61,-74.08,-91.38,
CEDEX Coin,1595,,CEDEX,0.0376,0.00000475,-0.23,7.41,28.81,68.17,2.02,46.84,-72.12,
Pixie Coin,1603,,PXC,0.0006,0.00000007,-0.23,-1.80,62.17,28.25,-31.97,-3.84,-30.35,-66.98
GCNCoin,1193,,GCN,0.00000096,0.0000,-0.20,-5.40,29.58,-51.01,-37.75,-41.50,-77.30,-88.72
Abulaba,1567,,AAA,0.0002,0.00000002,-0.12,-1.92,38.12,110.68,-76.39,-92.55,-96.85,
Zealium,1453,,NZL,0.0034,0.00000043,-0.12,-2.65,14.48,-12.63,-35.32,-31.99,,
Cybereits,1596,,CRE,0.0029,0.00000036,-0.18,23.31,45.21,160.23,177.56,142.11,-55.71,-83.38
Elixir,1194,,ELIX,0.0045,0.00000057,-0.21,-53.32,55.72,-58.64,-67.85,-72.42,-84.34,-98.16
Universal Currency,1277,,UNIT,0.0063,0.00000079,0.00,0.00,0.00,-62.92,-66.99,-77.67,-89.51,-97.87
YENTEN,1371,,YTN,0.0029,0.00000036,-0.12,-13.06,20.31,"83,138","83,138","83,138","4,499",-59.58
Delizia,1594,,DELIZ,0.0013,0.00000017,0.00,1.68,35.98,76.00,75.36,69.66,-99.82,
Lisk Machine Learning,617,,LML,0.0195,0.00000247,12.01,-0.35,-4.96,-82.49,-83.86,-83.12,,
Fortuna,423,,FOTA,0.0118,0.00000149,-0.47,4.06,-4.53,53.67,15.16,-1.02,-48.47,-61.20
ZINC,1412,,ZINC,0.0069,0.00000087,-0.22,-15.80,-31.42,-77.87,-87.09,-89.47,-94.69,-95.81
TokenDesk,1369,,TDS,0.0037,0.00000046,-3.93,-3.62,9.77,-49.78,-67.38,-88.73,-52.24,-91.49
Block-Chain.com,793,,BC,0.0054,0.00000068,-0.12,230.48,91.53,2.44,2.60,-97.41,-97.67,
