Name,Price,2% of Avg. YoY Bitcoin growth (2010-'16),10% of Avg. YoY Bitcoin growth (2010-'16),50% of Avg. Bitcoin YoY growth (2010-'16),Avg. YoY growth of The Internet (1995-2017),Avg. YoY growth of The Mobile Phone (1993-2013),Avg. YoY growth of Google (2000-'15),Avg. YoY growth of Facebook (2004-'16),4% Worldwide M0 money flows into the crypto market,4% Worldwide M1 money flows into the crypto market,4% Worldwide M2 money flows into the crypto market
QuarkChain,0.0234,0.0313,0.0372,0.0670,0.0385,0.0381,0.0465,0.0661,0.0702,0.3944,0.9974
Hyperion,0.0824,0.0273,0.0325,0.0585,0.0336,0.0333,0.0407,0.0578,0.0613,0.3448,0.8719
Aragon,0.8368,0.3729,0.4438,0.7981,0.4586,0.4547,0.5544,0.7880,0.8366,4.70,11.89
MediBloc [ERC20],0.0077,0.0030,0.0036,0.0064,0.0037,0.0037,0.0045,0.0063,0.0067,0.0378,0.0956
ILCoin,0.0855,0.0191,0.0228,0.0409,0.0235,0.0233,0.0284,0.0404,0.0429,0.2411,0.6096
Gold Bits Coin,0.2367,0.2005,0.2386,0.4292,0.2466,0.2445,0.2981,0.4237,0.4499,2.53,6.39
Cindicator,0.0173,0.0107,0.0128,0.0230,0.0132,0.0131,0.0160,0.0227,0.0241,0.1353,0.3422
SingularityNET,0.0464,0.0413,0.0492,0.0884,0.0508,0.0504,0.0614,0.0873,0.0927,0.5209,1.32
Quantum Resistant Ledger,0.3678,0.1882,0.2240,0.4029,0.2315,0.2295,0.2798,0.3977,0.4223,2.37,6.00
Robotina,0.0865,0.0144,0.0172,0.0308,0.0177,0.0176,0.0214,0.0305,0.0323,0.1817,0.4595
Iconomi,0.2480,0.0901,0.1072,0.1928,0.1108,0.1098,0.1339,0.1903,0.2021,1.14,2.87
Gnosis,21.83,12.08,14.37,25.85,14.85,14.73,17.96,25.52,27.09,152.26,385.08
Mithril,0.0419,0.0389,0.0463,0.0833,0.0479,0.0475,0.0579,0.0823,0.0874,0.4909,1.24
Einsteinium,0.1077,0.0362,0.0431,0.0775,0.0445,0.0441,0.0538,0.0765,0.0812,0.4564,1.15
Tokenpay,1.47,0.7416,0.8825,1.59,0.9119,0.9042,1.10,1.57,1.66,9.35,23.64
BHPCash,0.6738,0.7074,0.8419,1.51,0.8699,0.8626,1.05,1.49,1.59,8.92,22.56
Libra Credit,0.0452,0.0093,0.0110,0.0198,0.0114,0.0113,0.0138,0.0196,0.0208,0.1168,0.2954
Lightning Bitcoin,5.99,1.80,2.15,3.86,2.22,2.20,2.68,3.81,4.05,22.73,57.49
Dragonchain,0.0970,0.0724,0.0861,0.1549,0.0890,0.0882,0.1076,0.1529,0.1623,0.9122,2.31
Metadium,0.0184,0.0052,0.0062,0.0111,0.0064,0.0064,0.0077,0.0110,0.0117,0.0657,0.1661
Vertcoin,0.4605,0.2768,0.3294,0.5923,0.3403,0.3375,0.4115,0.5848,0.6209,3.49,8.82
Grin,2.18,5.19,6.18,11.12,6.39,6.33,7.72,10.98,11.65,65.49,165.62
Apollo Currency,0.0015,0.0018,0.0022,0.0039,0.0022,0.0022,0.0027,0.0038,0.0041,0.0229,0.0579
Telcoin,0.0006,0.0004,0.0004,0.0008,0.0004,0.0004,0.0005,0.0007,0.0008,0.0044,0.0112
BnkToTheFuture,0.0306,0.0198,0.0235,0.0423,0.0243,0.0241,0.0294,0.0417,0.0443,0.2491,0.6300
Quant,2.24,2.29,2.72,4.90,2.81,2.79,3.40,4.83,5.13,28.84,72.94
Dynamic Trading Rights,0.0169,0.0108,0.0129,0.0232,0.0133,0.0132,0.0161,0.0229,0.0243,0.1367,0.3457
Nexus,0.3555,0.3009,0.3581,0.6441,0.3701,0.3669,0.4474,0.6359,0.6751,3.79,9.60
Digitex Futures,0.0277,0.0339,0.0403,0.0725,0.0416,0.0413,0.0504,0.0716,0.0760,0.4270,1.08
INO COIN,1.03,0.1876,0.2232,0.4014,0.2307,0.2287,0.2789,0.3963,0.4208,2.36,5.98
Dropil,0.0009,0.0004,0.0005,0.0009,0.0005,0.0005,0.0007,0.0009,0.0010,0.0055,0.0140
Metal,0.4612,0.2762,0.3287,0.5912,0.3397,0.3368,0.4107,0.5836,0.6196,3.48,8.81
DEW,0.1958,0.0663,0.0790,0.1420,0.0816,0.0809,0.0986,0.1402,0.1488,0.8364,2.12
TokenClub,0.0418,0.0331,0.0394,0.0709,0.0407,0.0404,0.0492,0.0700,0.0743,0.4175,1.06
NKN,0.0570,0.0296,0.0352,0.0634,0.0364,0.0361,0.0440,0.0626,0.0664,0.3733,0.9440
Smartlands,3.88,1.90,2.26,4.06,2.33,2.31,2.82,4.01,4.25,23.91,60.47
Neblio,1.36,1.00,1.19,2.15,1.23,1.22,1.49,2.12,2.25,12.64,31.97
Odyssey,0.0027,0.0022,0.0027,0.0048,0.0028,0.0027,0.0033,0.0047,0.0050,0.0283,0.0714
Fantom,0.0108,0.0038,0.0045,0.0081,0.0047,0.0046,0.0057,0.0080,0.0085,0.0480,0.1214
Moeda Loyalty Points,0.9890,0.7417,0.8827,1.59,0.9121,0.9044,1.10,1.57,1.66,9.35,23.65
REPO,0.1755,0.5329,0.6341,1.14,0.6553,0.6497,0.7922,1.13,1.20,6.72,16.99
Ren,0.0294,0.0173,0.0206,0.0371,0.0213,0.0211,0.0258,0.0366,0.0389,0.2184,0.5524
Tael,0.3301,0.1193,0.1420,0.2553,0.1467,0.1455,0.1774,0.2521,0.2676,1.50,3.80
High Performance Blockchain,0.4233,0.1829,0.2177,0.3915,0.2249,0.2230,0.2719,0.3865,0.4103,2.31,5.83
Storm,0.0032,0.0027,0.0032,0.0058,0.0034,0.0033,0.0041,0.0058,0.0061,0.0343,0.0869
Po.et,0.0058,0.0049,0.0058,0.0105,0.0060,0.0060,0.0073,0.0103,0.0110,0.0616,0.1559
Dentacoin,0.00005584,0.00007959,0.00009472,0.0002,0.00009787,0.00009704,0.0001,0.0002,0.0002,0.0010,0.0025
Cosmo Coin,0.0271,0.0099,0.0117,0.0211,0.0121,0.0120,0.0146,0.0208,0.0221,0.1242,0.3142
Eidoo,0.6164,0.6883,0.8191,1.47,0.8464,0.8392,1.02,1.45,1.54,8.68,21.95
Bitcore BTX,1.06,0.2390,0.2845,0.5116,0.2939,0.2915,0.3554,0.5051,0.5362,3.01,7.62
Davinci Coin,0.0056,0.0078,0.0093,0.0167,0.0096,0.0095,0.0116,0.0165,0.0175,0.0985,0.2490
Nectar,0.2118,0.1785,0.2124,0.3819,0.2194,0.2176,0.2653,0.3771,0.4003,2.25,5.69
Lina,0.0749,0.0193,0.0230,0.0414,0.0238,0.0236,0.0288,0.0409,0.0434,0.2439,0.6169
TokenCard,0.5751,0.2613,0.3109,0.5592,0.3213,0.3186,0.3884,0.5521,0.5861,3.29,8.33
Wagerr,0.0950,0.0723,0.0861,0.1548,0.0890,0.0882,0.1075,0.1529,0.1623,0.9120,2.31
Aergo,0.1666,0.0615,0.0732,0.1317,0.0757,0.0750,0.0915,0.1300,0.1380,0.7758,1.96
DAPS Token,0.0003,0.00007313,0.00008703,0.0002,0.00008993,0.00008917,0.0001,0.0002,0.0002,0.0009,0.0023
WhiteCoin,0.0689,0.0322,0.0384,0.0690,0.0396,0.0393,0.0479,0.0681,0.0723,0.4064,1.03
BitKan,0.0043,0.0013,0.0015,0.0027,0.0016,0.0015,0.0019,0.0027,0.0028,0.0160,0.0405
CWV Chain,0.0053,0.0029,0.0034,0.0061,0.0035,0.0035,0.0043,0.0060,0.0064,0.0361,0.0913
Scroll,0.0882,0.0418,0.0497,0.0894,0.0514,0.0509,0.0621,0.0883,0.0937,0.5268,1.33
FLO,0.1116,0.0730,0.0869,0.1563,0.0898,0.0890,0.1086,0.1543,0.1638,0.9205,2.33
SmartMesh,0.0118,0.0082,0.0097,0.0175,0.0100,0.0100,0.0121,0.0173,0.0183,0.1030,0.2604
Gifto,0.0276,0.0245,0.0291,0.0523,0.0301,0.0298,0.0364,0.0517,0.0549,0.3083,0.7797
Viacoin,0.7174,0.2989,0.3558,0.6398,0.3676,0.3645,0.4444,0.6316,0.6706,3.77,9.53
Matrix AI Network,0.1106,0.0749,0.0891,0.1603,0.0921,0.0913,0.1114,0.1583,0.1680,0.9444,2.39
Ether Zero,0.1015,0.0999,0.1189,0.2139,0.1229,0.1219,0.1486,0.2112,0.2242,1.26,3.19
Everex,0.7179,0.2733,0.3253,0.5850,0.3361,0.3333,0.4064,0.5775,0.6132,3.45,8.71
XYO,0.0019,0.0030,0.0036,0.0065,0.0037,0.0037,0.0045,0.0064,0.0068,0.0381,0.0964
