Name,Price,2% of Avg. YoY Bitcoin growth (2010-'16),10% of Avg. YoY Bitcoin growth (2010-'16),50% of Avg. Bitcoin YoY growth (2010-'16),Avg. YoY growth of The Internet (1995-2017),Avg. YoY growth of The Mobile Phone (1993-2013),Avg. YoY growth of Google (2000-'15),Avg. YoY growth of Facebook (2004-'16),4% Worldwide M0 money flows into the crypto market,4% Worldwide M1 money flows into the crypto market,4% Worldwide M2 money flows into the crypto market
Hybrid Block,0.0027,0.0023,0.0027,0.0048,0.0028,0.0027,0.0033,0.0048,0.0050,0.0284,0.0718
CMITCOIN,0.00000522,0.00000543,0.00000646,0.00001163,0.00000668,0.00000662,0.00000808,0.00001148,0.00001219,0.00006849,0.0002
MobilinkToken,0.0015,0.0023,0.0027,0.0049,0.0028,0.0028,0.0034,0.0048,0.0051,0.0287,0.0726
Cobrabytes,0.00007248,0.0008,0.0010,0.0018,0.0010,0.0010,0.0012,0.0018,0.0019,0.0105,0.0266
BingoCoin,0.0025,0.0107,0.0127,0.0229,0.0131,0.0130,0.0159,0.0226,0.0240,0.1348,0.3409
BlockCDN,0.0120,0.0010,0.0012,0.0022,0.0013,0.0013,0.0016,0.0022,0.0023,0.0132,0.0333
Labh Coin,0.00005793,0.00003637,0.00004329,0.00007785,0.00004473,0.00004435,0.00005408,0.00007686,0.00008160,0.0005,0.0012
Maggie,0.0007,0.0005,0.0005,0.0010,0.0006,0.0006,0.0007,0.0010,0.0010,0.0058,0.0147
OTCBTC Token,0.0314,0.0247,0.0294,0.0529,0.0304,0.0302,0.0368,0.0523,0.0555,0.3118,0.7885
SIGMAcoin,0.0026,0.0015,0.0017,0.0031,0.0018,0.0018,0.0022,0.0031,0.0033,0.0184,0.0466
Countinghouse,1.84,1.55,1.84,3.31,1.90,1.89,2.30,3.27,3.47,19.51,49.34
Engine,0.0005,0.0003,0.0003,0.0006,0.0003,0.0003,0.0004,0.0006,0.0006,0.0035,0.0089
NewsToken,0.0006,0.0013,0.0015,0.0027,0.0016,0.0015,0.0019,0.0027,0.0028,0.0160,0.0405
Theresa May Coin,0.0003,0.00003622,0.00004310,0.00007751,0.00004453,0.00004416,0.00005384,0.00007652,0.00008124,0.0005,0.0012
Cryptojacks,0.00007902,0.00007243,0.00008620,0.0002,0.00008907,0.00008832,0.0001,0.0002,0.0002,0.0009,0.0023
Fivebalance,0.00006764,0.00000344,0.00000410,0.00000737,0.00000423,0.00000420,0.00000512,0.00000727,0.00000772,0.00004340,0.0001
Beacon,0.0042,0.0394,0.0469,0.0844,0.0485,0.0481,0.0586,0.0833,0.0884,0.4970,1.26
808Coin,0.00000003,0.00000003,0.00000004,0.00000006,0.00000004,0.00000004,0.00000004,0.00000006,0.00000007,0.00000038,0.00000095
Cheesecoin,0.00009480,0.00007346,0.00008742,0.0002,0.00009033,0.00008957,0.0001,0.0002,0.0002,0.0009,0.0023
EZOOW,0.00000267,0.00000233,0.00000277,0.00000498,0.00000286,0.00000284,0.00000346,0.00000492,0.00000522,0.00002936,0.00007426
Authorship,0.0003,0.0006,0.0008,0.0014,0.0008,0.0008,0.0010,0.0014,0.0014,0.0081,0.0205
MASTERNET,0.0010,0.0027,0.0032,0.0058,0.0033,0.0033,0.0040,0.0057,0.0061,0.0340,0.0860
GreenMed,0.0021,0.0051,0.0060,0.0109,0.0062,0.0062,0.0075,0.0107,0.0114,0.0639,0.1617
Thingschain,0.00000266,0.00000468,0.00000556,0.00001001,0.00000575,0.00000570,0.00000695,0.00000988,0.00001049,0.00005894,0.0001
Sparks,0.0057,0.0060,0.0071,0.0128,0.0073,0.0073,0.0089,0.0126,0.0134,0.0752,0.1902
BunnyToken,0.0002,0.0007,0.0009,0.0016,0.0009,0.0009,0.0011,0.0015,0.0016,0.0091,0.0231
Renos,0.0009,0.0002,0.0003,0.0005,0.0003,0.0003,0.0003,0.0005,0.0005,0.0027,0.0069
Grimcoin,0.0003,0.0003,0.0003,0.0005,0.0003,0.0003,0.0004,0.0005,0.0006,0.0032,0.0081
Nitro,0.0013,0.0028,0.0034,0.0060,0.0035,0.0034,0.0042,0.0060,0.0063,0.0355,0.0898
ConnectJob,0.0003,0.0002,0.0003,0.0005,0.0003,0.0003,0.0003,0.0005,0.0005,0.0028,0.0072
Crystal Clear,0.0055,0.0109,0.0130,0.0233,0.0134,0.0133,0.0162,0.0230,0.0245,0.1374,0.3476
Quebecoin,0.0019,0.0010,0.0012,0.0021,0.0012,0.0012,0.0015,0.0021,0.0022,0.0124,0.0313
Olympic,0.0003,0.0014,0.0016,0.0029,0.0017,0.0017,0.0020,0.0029,0.0031,0.0173,0.0437
NevaCoin,0.0073,0.0040,0.0047,0.0085,0.0049,0.0049,0.0059,0.0084,0.0089,0.0502,0.1270
Zurcoin,0.0003,0.0004,0.0005,0.0009,0.0005,0.0005,0.0006,0.0009,0.0010,0.0055,0.0139
Neural Protocol,0.00000296,0.00000401,0.00000477,0.00000857,0.00000493,0.00000488,0.00000596,0.00000846,0.00000899,0.00005050,0.0001
Purex,0.0016,0.0018,0.0022,0.0040,0.0023,0.0023,0.0027,0.0039,0.0041,0.0233,0.0589
Bitdeal,0.0002,0.0009,0.0011,0.0019,0.0011,0.0011,0.0014,0.0019,0.0020,0.0115,0.0290
Zealium,0.0034,0.0047,0.0056,0.0101,0.0058,0.0058,0.0070,0.0100,0.0106,0.0595,0.1505
Dix Asset,0.00000027,0.00000029,0.00000034,0.00000062,0.00000035,0.00000035,0.00000043,0.00000061,0.00000065,0.00000363,0.00000918
Acoin,0.0217,0.0091,0.0108,0.0194,0.0111,0.0110,0.0135,0.0191,0.0203,0.1141,0.2887
FUTURAX,0.00000771,0.00002878,0.00003425,0.00006159,0.00003539,0.00003509,0.00004278,0.00006081,0.00006456,0.0004,0.0009
MojoCoin,0.0021,0.0011,0.0012,0.0022,0.0013,0.0013,0.0016,0.0022,0.0024,0.0132,0.0335
iBTC,0.0009,0.0009,0.0010,0.0018,0.0011,0.0011,0.0013,0.0018,0.0019,0.0109,0.0275
BitCoin One,0.0003,0.0005,0.0006,0.0012,0.0007,0.0007,0.0008,0.0011,0.0012,0.0068,0.0173
Safe Trade Coin,0.00007902,0.00007243,0.00008620,0.0002,0.00008907,0.00008832,0.0001,0.0002,0.0002,0.0009,0.0023
Titcoin,0.0004,0.0003,0.0003,0.0006,0.0004,0.0004,0.0004,0.0006,0.0006,0.0037,0.0092
ICOBID,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0003,0.0014,0.0036
Speedcash,0.0423,0.0278,0.0331,0.0595,0.0342,0.0339,0.0414,0.0588,0.0624,0.3508,0.8871
ParkByte,0.0051,0.0032,0.0039,0.0070,0.0040,0.0040,0.0048,0.0069,0.0073,0.0410,0.1036
PostCoin,0.0015,0.0008,0.0009,0.0016,0.0009,0.0009,0.0011,0.0016,0.0017,0.0096,0.0242
Escroco Emerald,0.00003951,0.00002147,0.00002555,0.00004595,0.00002640,0.00002618,0.00003192,0.00004537,0.00004816,0.0003,0.0007
Italo,0.0102,0.0190,0.0226,0.0407,0.0234,0.0232,0.0282,0.0401,0.0426,0.2395,0.6057
Posscoin,0.00000078,0.00000112,0.00000134,0.00000241,0.00000138,0.00000137,0.00000167,0.00000238,0.00000252,0.00001418,0.00003587
AltCommunity Coin,0.0138,0.0363,0.0431,0.0776,0.0446,0.0442,0.0539,0.0766,0.0813,0.4570,1.16
YoloCash,0.0008,0.0003,0.0004,0.0007,0.0004,0.0004,0.0005,0.0007,0.0007,0.0041,0.0105
Phantomx,0.0006,0.0003,0.0003,0.0005,0.0003,0.0003,0.0004,0.0005,0.0006,0.0032,0.0081
EthBet,0.0025,0.0027,0.0032,0.0057,0.0033,0.0033,0.0040,0.0056,0.0060,0.0337,0.0851
Etheriya,0.0136,0.0864,0.1028,0.1848,0.1062,0.1053,0.1284,0.1825,0.1937,1.09,2.75
BoostCoin,0.0017,0.0018,0.0022,0.0040,0.0023,0.0023,0.0027,0.0039,0.0041,0.0233,0.0589
Bitspace,0.0015,0.0006,0.0007,0.0012,0.0007,0.0007,0.0008,0.0012,0.0013,0.0071,0.0179
Tourist Token,0.00000544,0.00001288,0.00001533,0.00002757,0.00001584,0.00001571,0.00001915,0.00002722,0.00002890,0.0002,0.0004
Dollarcoin,0.0022,0.0011,0.0012,0.0022,0.0013,0.0013,0.0016,0.0022,0.0024,0.0132,0.0335
MustangCoin,0.0319,0.0145,0.0172,0.0310,0.0178,0.0177,0.0215,0.0306,0.0325,0.1825,0.4617
Dystem,0.0036,0.0127,0.0151,0.0271,0.0156,0.0155,0.0188,0.0268,0.0284,0.1598,0.4041
Iqcash,0.0051,0.0049,0.0059,0.0106,0.0061,0.0060,0.0073,0.0104,0.0111,0.0622,0.1574
Centurion,0.0003,0.0003,0.0004,0.0007,0.0004,0.0004,0.0005,0.0007,0.0007,0.0041,0.0104
FuzzBalls,0.0040,0.0015,0.0018,0.0032,0.0018,0.0018,0.0022,0.0032,0.0034,0.0189,0.0478
Litecred,0.0006,0.0004,0.0004,0.0008,0.0005,0.0005,0.0006,0.0008,0.0008,0.0047,0.0120
Bank Coin,0.0031,0.0033,0.0039,0.0070,0.0040,0.0040,0.0049,0.0069,0.0074,0.0413,0.1045
RedCoin,0.0003,0.0003,0.0003,0.0006,0.0003,0.0003,0.0004,0.0006,0.0006,0.0034,0.0087
FLiK,0.0003,0.0001,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0003,0.0018,0.0046
Neuro,0.0003,0.0002,0.0003,0.0005,0.0003,0.0003,0.0003,0.0005,0.0005,0.0027,0.0069
Eurocoin,0.0015,0.0020,0.0024,0.0044,0.0025,0.0025,0.0030,0.0043,0.0046,0.0257,0.0649
PrimeStone,0.0022,0.0084,0.0100,0.0179,0.0103,0.0102,0.0125,0.0177,0.0188,0.1056,0.2670
ParallelCoin,0.0586,0.0629,0.0748,0.1346,0.0773,0.0767,0.0935,0.1328,0.1410,0.7926,2.00
High Voltage,0.0123,0.0109,0.0130,0.0233,0.0134,0.0133,0.0162,0.0230,0.0244,0.1373,0.3472
CompuCoin,0.0009,0.0010,0.0012,0.0021,0.0012,0.0012,0.0014,0.0020,0.0022,0.0122,0.0308
PyrexCoin,0.0015,0.0022,0.0026,0.0047,0.0027,0.0027,0.0033,0.0047,0.0050,0.0279,0.0704
Graphcoin,0.0022,0.0015,0.0018,0.0033,0.0019,0.0019,0.0023,0.0032,0.0034,0.0192,0.0485
AlpaCoin,0.0017,0.0005,0.0006,0.0011,0.0006,0.0006,0.0008,0.0011,0.0012,0.0066,0.0166
KingN Coin,8.58,8.01,9.53,17.14,9.85,9.76,11.90,16.92,17.96,100.94,255.29
Doubloon,0.0002,0.0003,0.0003,0.0005,0.0003,0.0003,0.0004,0.0005,0.0006,0.0032,0.0081
TajCoin,0.0014,0.0014,0.0017,0.0031,0.0018,0.0018,0.0022,0.0031,0.0032,0.0183,0.0462
Cryptrust,0.00000298,0.00000287,0.00000341,0.00000614,0.00000353,0.00000350,0.00000426,0.00000606,0.00000643,0.00003616,0.00009144
Qurito,0.0016,0.0081,0.0096,0.0173,0.0100,0.0099,0.0120,0.0171,0.0182,0.1022,0.2584
Sola Token,0.0006,0.0019,0.0022,0.0040,0.0023,0.0023,0.0028,0.0039,0.0042,0.0233,0.0590
Eryllium,0.0012,0.0011,0.0013,0.0023,0.0013,0.0013,0.0016,0.0022,0.0024,0.0134,0.0338
Cyber Movie Chain,0.00000081,0.00000045,0.00000054,0.00000096,0.00000055,0.00000055,0.00000067,0.00000095,0.00000101,0.00000567,0.00001435
Sharpe Platform Token,0.0009,0.0415,0.0494,0.0889,0.0511,0.0506,0.0617,0.0877,0.0931,0.5235,1.32
SecureCoin,0.0016,0.0011,0.0013,0.0023,0.0013,0.0013,0.0016,0.0023,0.0024,0.0137,0.0346
AdultChain,0.0003,0.0010,0.0012,0.0022,0.0012,0.0012,0.0015,0.0021,0.0023,0.0128,0.0323
GambleCoin,0.0017,0.0014,0.0017,0.0030,0.0017,0.0017,0.0021,0.0030,0.0032,0.0178,0.0450
Mirai,0.0043,0.0061,0.0072,0.0130,0.0075,0.0074,0.0090,0.0128,0.0136,0.0766,0.1937
BrokerNekoNetwork,0.00000492,0.00000562,0.00000669,0.00001204,0.00000692,0.00000686,0.00000836,0.00001188,0.00001262,0.00007091,0.0002
TravelNote,0.0070,0.0285,0.0339,0.0609,0.0350,0.0347,0.0423,0.0601,0.0639,0.3589,0.9076
Polcoin,0.0002,0.0002,0.0002,0.0004,0.0002,0.0002,0.0003,0.0004,0.0004,0.0024,0.0062
Bitcoin Adult,0.0005,0.0007,0.0008,0.0014,0.0008,0.0008,0.0010,0.0014,0.0015,0.0082,0.0208
Agrolot,0.0010,0.0188,0.0224,0.0403,0.0232,0.0230,0.0280,0.0398,0.0423,0.2375,0.6006
PosEx,0.0058,0.0052,0.0061,0.0110,0.0063,0.0063,0.0077,0.0109,0.0116,0.0649,0.1642
ZoZoCoin,0.0071,0.0426,0.0507,0.0913,0.0524,0.0520,0.0634,0.0901,0.0957,0.5376,1.36
Bionic,0.00002572,0.00003151,0.00003750,0.00006744,0.00003875,0.00003842,0.00004684,0.00006658,0.00007068,0.0004,0.0010
Californium,0.0056,0.0041,0.0048,0.0087,0.0050,0.0050,0.0061,0.0086,0.0091,0.0514,0.1299
Sub Invest,0.00000003,0.00000004,0.00000004,0.00000008,0.00000004,0.00000004,0.00000005,0.00000008,0.00000008,0.00000046,0.00000116
Fintab,0.0047,0.0023,0.0027,0.0049,0.0028,0.0028,0.0034,0.0048,0.0051,0.0288,0.0727
Independent Money System,0.0024,0.0022,0.0027,0.0048,0.0028,0.0027,0.0033,0.0047,0.0050,0.0282,0.0714
BZLCOIN,0.0059,0.0124,0.0148,0.0266,0.0153,0.0151,0.0185,0.0262,0.0279,0.1566,0.3960
CatoCoin,0.0023,0.0158,0.0188,0.0338,0.0194,0.0193,0.0235,0.0334,0.0354,0.1991,0.5034
Eternity,0.0022,0.0021,0.0025,0.0044,0.0025,0.0025,0.0031,0.0044,0.0046,0.0261,0.0660
Zayedcoin,0.0019,0.0013,0.0015,0.0027,0.0016,0.0016,0.0019,0.0027,0.0029,0.0161,0.0407
Datacoin,0.0003,0.0006,0.0007,0.0012,0.0007,0.0007,0.0009,0.0012,0.0013,0.0073,0.0185
KUN,5.74,5.18,6.16,11.08,6.36,6.31,7.69,10.94,11.61,65.24,165.01
Steneum Coin,0.0037,0.0038,0.0046,0.0082,0.0047,0.0047,0.0057,0.0081,0.0086,0.0485,0.1227
Bankcoin,0.0010,0.0011,0.0013,0.0023,0.0013,0.0013,0.0016,0.0023,0.0024,0.0135,0.0340
Honey,0.0229,0.0366,0.0435,0.0783,0.0450,0.0446,0.0544,0.0773,0.0821,0.4611,1.17
Nekonium,0.0009,0.0009,0.0010,0.0019,0.0011,0.0011,0.0013,0.0018,0.0019,0.0110,0.0277
Printex,0.0004,0.0011,0.0013,0.0024,0.0014,0.0014,0.0017,0.0024,0.0025,0.0142,0.0358
Atomic Coin,0.0006,0.0012,0.0014,0.0025,0.0014,0.0014,0.0017,0.0024,0.0026,0.0146,0.0370
Dinero,0.0011,0.0020,0.0024,0.0042,0.0024,0.0024,0.0029,0.0042,0.0044,0.0249,0.0630
Comet,0.0110,0.0070,0.0083,0.0149,0.0086,0.0085,0.0103,0.0147,0.0156,0.0877,0.2217
ARbit,0.0009,0.0004,0.0004,0.0008,0.0004,0.0004,0.0005,0.0008,0.0008,0.0046,0.0115
MiloCoin,0.0009,0.0005,0.0006,0.0012,0.0007,0.0007,0.0008,0.0011,0.0012,0.0068,0.0173
BumbaCoin,0.0004,0.0003,0.0004,0.0007,0.0004,0.0004,0.0005,0.0007,0.0007,0.0040,0.0102
SOILcoin,0.0016,0.0017,0.0020,0.0035,0.0020,0.0020,0.0025,0.0035,0.0037,0.0209,0.0528
Ragnarok,0.0007,0.0009,0.0010,0.0019,0.0011,0.0011,0.0013,0.0018,0.0019,0.0110,0.0277
Dalecoin,0.0139,0.0152,0.0181,0.0326,0.0187,0.0186,0.0226,0.0322,0.0342,0.1921,0.4858
BowsCoin,0.0016,0.0008,0.0009,0.0016,0.0009,0.0009,0.0011,0.0016,0.0017,0.0096,0.0242
iBank,0.0018,0.0012,0.0014,0.0026,0.0015,0.0015,0.0018,0.0025,0.0027,0.0152,0.0384
Flaxscript,0.0014,0.0015,0.0018,0.0032,0.0019,0.0018,0.0022,0.0032,0.0034,0.0191,0.0482
LiteCoin Ultra,0.0077,0.0049,0.0058,0.0104,0.0060,0.0059,0.0072,0.0103,0.0109,0.0613,0.1550
Iconic,0.0133,0.0096,0.0115,0.0206,0.0119,0.0118,0.0143,0.0204,0.0216,0.1216,0.3074
BitMoney,0.00009365,0.0004,0.0005,0.0009,0.0005,0.0005,0.0006,0.0009,0.0010,0.0055,0.0138
SongCoin,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0014,0.0035
Trident Group,0.0062,0.0152,0.0181,0.0325,0.0187,0.0185,0.0226,0.0321,0.0340,0.1913,0.4837
Crystal Token,0.0129,0.1396,0.1661,0.2987,0.1716,0.1702,0.2075,0.2949,0.3131,1.76,4.45
CryptoFlow,0.00007902,0.0020,0.0024,0.0043,0.0025,0.0024,0.0030,0.0042,0.0045,0.0251,0.0636
WhaleCoin,0.0007,0.0007,0.0009,0.0016,0.0009,0.0009,0.0011,0.0016,0.0016,0.0093,0.0234
Mero,0.0013,0.0010,0.0012,0.0022,0.0012,0.0012,0.0015,0.0021,0.0023,0.0128,0.0323
Prime-XI,0.0003,0.0002,0.0003,0.0005,0.0003,0.0003,0.0003,0.0005,0.0005,0.0027,0.0069
Veltor,0.0123,0.0047,0.0056,0.0100,0.0057,0.0057,0.0069,0.0099,0.0105,0.0589,0.1490
FolmCoin,0.0007,0.0014,0.0017,0.0031,0.0018,0.0018,0.0021,0.0031,0.0032,0.0182,0.0461
Bitcoin X,0.0024,0.0015,0.0018,0.0032,0.0019,0.0018,0.0022,0.0032,0.0034,0.0191,0.0482
Qbic,0.0014,0.0028,0.0033,0.0059,0.0034,0.0034,0.0041,0.0058,0.0062,0.0347,0.0879
EcoCoin,0.0056,0.0059,0.0070,0.0125,0.0072,0.0071,0.0087,0.0124,0.0132,0.0739,0.1869
Cannation,0.0026,0.0022,0.0026,0.0047,0.0027,0.0027,0.0033,0.0047,0.0050,0.0279,0.0704
BenjiRolls,0.0003,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0014,0.0035
INDINODE,0.00000790,0.00003622,0.00004310,0.00007751,0.00004453,0.00004416,0.00005384,0.00007652,0.00008124,0.0005,0.0012
CoinonatX,0.0003,0.00007243,0.00008620,0.0002,0.00008907,0.00008832,0.0001,0.0002,0.0002,0.0009,0.0023
Ammo Reloaded,0.00007816,0.0001,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0003,0.0018,0.0046
PoSToken,0.0057,0.0060,0.0071,0.0128,0.0074,0.0073,0.0089,0.0126,0.0134,0.0754,0.1908
SocialCoin,0.0006,0.0003,0.0003,0.0005,0.0003,0.0003,0.0004,0.0005,0.0006,0.0032,0.0081
Vector,0.0003,0.0003,0.0003,0.0005,0.0003,0.0003,0.0004,0.0005,0.0006,0.0032,0.0082
Cabbage,0.0006,0.0004,0.0005,0.0009,0.0005,0.0005,0.0006,0.0008,0.0009,0.0050,0.0127
JavaScript Token,0.0007,0.0016,0.0019,0.0034,0.0020,0.0019,0.0024,0.0034,0.0036,0.0201,0.0509
PlayerCoin,0.0002,0.0002,0.0002,0.0004,0.0003,0.0003,0.0003,0.0004,0.0005,0.0026,0.0066
C-Bit,0.00003464,0.00003637,0.00004328,0.00007784,0.00004472,0.00004435,0.00005407,0.00007685,0.00008159,0.0005,0.0012
PLNcoin,0.0003,0.0003,0.0003,0.0005,0.0003,0.0003,0.0004,0.0005,0.0006,0.0032,0.0081
Xchange,0.0006,0.0049,0.0058,0.0105,0.0060,0.0060,0.0073,0.0104,0.0110,0.0619,0.1566
Rhenium,0.0002,0.0001,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0003,0.0018,0.0046
Bitvolt,0.0003,0.0001,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0003,0.0018,0.0046
LiteBitcoin,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0014,0.0035
ACRE,0.0012,0.0011,0.0013,0.0023,0.0013,0.0013,0.0016,0.0023,0.0024,0.0137,0.0346
Archetypal Network,0.00000107,0.00000112,0.00000134,0.00000241,0.00000138,0.00000137,0.00000167,0.00000238,0.00000252,0.00001418,0.00003587
UralsCoin,0.0004,0.0008,0.0010,0.0018,0.0010,0.0010,0.0012,0.0018,0.0019,0.0105,0.0266
Wild Beast Block,0.0281,0.0146,0.0174,0.0312,0.0180,0.0178,0.0217,0.0308,0.0328,0.1841,0.4655
Virtacoin,0.00000096,0.00000122,0.00000145,0.00000261,0.00000150,0.00000149,0.00000182,0.00000258,0.00000274,0.00001539,0.00003893
Bitcoin Planet,0.0007,0.0010,0.0012,0.0021,0.0012,0.0012,0.0015,0.0021,0.0022,0.0124,0.0313
Fujinto,0.00006899,0.00007243,0.00008620,0.0002,0.00008907,0.00008832,0.0001,0.0002,0.0002,0.0009,0.0023
HomeBlockCoin,0.0009,0.0009,0.0011,0.0020,0.0012,0.0011,0.0014,0.0020,0.0021,0.0119,0.0300
BitCoal,0.0009,0.0013,0.0016,0.0028,0.0016,0.0016,0.0019,0.0028,0.0029,0.0164,0.0416
BitQuark,0.0003,0.0004,0.0004,0.0008,0.0004,0.0004,0.0005,0.0008,0.0008,0.0046,0.0115
QYNO,0.0034,0.0304,0.0362,0.0651,0.0374,0.0371,0.0452,0.0643,0.0682,0.3835,0.9699
BROTHER,0.00002201,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0014,0.0035
Coinonat,0.0004,0.00009835,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0012,0.0031
Ourcoin,0.0052,0.0183,0.0218,0.0392,0.0225,0.0223,0.0272,0.0387,0.0411,0.2310,0.5842
Peony,0.0073,0.0008,0.0009,0.0017,0.0010,0.0010,0.0012,0.0017,0.0018,0.0100,0.0253
ROIyal Coin,0.0042,0.0826,0.0982,0.1767,0.1015,0.1007,0.1227,0.1744,0.1852,1.04,2.63
Staker,0.0021,0.0039,0.0047,0.0084,0.0049,0.0048,0.0059,0.0083,0.0089,0.0498,0.1259
CrevaCoin,0.00007902,0.00007243,0.00008620,0.0002,0.00008907,0.00008832,0.0001,0.0002,0.0002,0.0009,0.0023
Concoin,0.0035,0.0099,0.0117,0.0211,0.0121,0.0120,0.0146,0.0208,0.0221,0.1242,0.3141
Abulaba,0.0002,0.00007744,0.00009215,0.0002,0.00009522,0.00009442,0.0001,0.0002,0.0002,0.0010,0.0025
Interzone,0.0009,0.0003,0.0003,0.0006,0.0004,0.0004,0.0004,0.0006,0.0006,0.0037,0.0092
CoinToGo,0.0002,0.0315,0.0375,0.0675,0.0388,0.0385,0.0469,0.0667,0.0708,0.3977,1.01
GeertCoin,0.0004,0.0005,0.0005,0.0010,0.0006,0.0005,0.0007,0.0010,0.0010,0.0057,0.0144
PonziCoin,0.0025,0.0080,0.0095,0.0171,0.0098,0.0097,0.0118,0.0168,0.0179,0.1004,0.2540
Benz,0.0004,0.0002,0.0003,0.0005,0.0003,0.0003,0.0003,0.0005,0.0005,0.0029,0.0075
Save and Gain,0.0006,0.0006,0.0007,0.0012,0.0007,0.0007,0.0009,0.0012,0.0013,0.0073,0.0185
Coimatic 2.0,0.0001,0.0001,0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,0.0003,0.0018,0.0047
Dollar Online,0.0024,0.0026,0.0031,0.0055,0.0032,0.0031,0.0038,0.0054,0.0058,0.0324,0.0820
Allion,0.0003,0.0003,0.0004,0.0007,0.0004,0.0004,0.0005,0.0006,0.0007,0.0038,0.0097
Asiadigicoin,0.00007149,0.00007506,0.00008932,0.0002,0.00009230,0.00009152,0.0001,0.0002,0.0002,0.0009,0.0024
Project-X,19753.94,18108.25,21549.34,38754.83,22267.13,22079.13,26920.64,38261.18,40621.34,228285.28,577349.94
VapersCoin,0.00000196,0.00000205,0.00000244,0.00000439,0.00000252,0.00000250,0.00000305,0.00000434,0.00000460,0.00002588,0.00006544
Magnum,0.0003,0.0004,0.0005,0.0009,0.0005,0.0005,0.0006,0.0008,0.0009,0.0050,0.0127
AnarchistsPrime,0.0003,0.0006,0.0007,0.0012,0.0007,0.0007,0.0009,0.0012,0.0013,0.0073,0.0185
Coupecoin,0.00000532,0.00000558,0.00000665,0.00001195,0.00000687,0.00000681,0.00000830,0.00001180,0.00001253,0.00007040,0.0002
Coimatic 3.0,0.0005,0.0005,0.0006,0.0012,0.0007,0.0007,0.0008,0.0011,0.0012,0.0068,0.0173
Jiyo,0.00006939,0.00007286,0.00008670,0.0002,0.00008959,0.00008883,0.0001,0.0002,0.0002,0.0009,0.0023
dietbitcoin,0.0003,0.0046,0.0055,0.0099,0.0057,0.0056,0.0069,0.0098,0.0104,0.0584,0.1477
Rocketcoin,0.00000702,0.00002466,0.00002935,0.00005279,0.00003033,0.00003007,0.00003667,0.00005211,0.00005533,0.0003,0.0008
MFIT COIN,0.0003,0.0013,0.0016,0.0029,0.0016,0.0016,0.0020,0.0028,0.0030,0.0169,0.0427
Argus,0.0004,0.0003,0.0003,0.0006,0.0004,0.0004,0.0004,0.0006,0.0006,0.0037,0.0092
SmartFox,0.0002,0.0038,0.0045,0.0081,0.0046,0.0046,0.0056,0.0080,0.0085,0.0475,0.1202
CJs,0.1245,0.0735,0.0875,0.1573,0.0904,0.0896,0.1093,0.1553,0.1649,0.9267,2.34
POLY AI,0.00004500,0.00004725,0.00005623,0.0001,0.00005810,0.00005761,0.00007024,0.00009983,0.0001,0.0006,0.0015
Jiyo [OLD],0.00001582,0.0002,0.0002,0.0004,0.0003,0.0003,0.0003,0.0004,0.0005,0.0026,0.0066
HarmonyCoin,0.0002,0.0002,0.0002,0.0004,0.0002,0.0002,0.0002,0.0004,0.0004,0.0021,0.0053
SHADE Token,0.00000182,0.00000034,0.00000040,0.00000072,0.00000041,0.00000041,0.00000050,0.00000071,0.00000075,0.00000422,0.00001068
Infinity Economics,0.0020,0.0014,0.0016,0.0030,0.0017,0.0017,0.0021,0.0029,0.0031,0.0174,0.0441
LightChain,0.00003042,0.00003142,0.00003739,0.00006725,0.00003864,0.00003831,0.00004671,0.00006639,0.00007049,0.0004,0.0010
Minex,0.0037,0.0016,0.0019,0.0035,0.0020,0.0020,0.0024,0.0035,0.0037,0.0206,0.0522
GameChain System,0.0003,0.0002,0.0003,0.0005,0.0003,0.0003,0.0004,0.0005,0.0006,0.0031,0.0079
Bitbase,0.0002,0.0002,0.0003,0.0005,0.0003,0.0003,0.0003,0.0005,0.0005,0.0027,0.0069
vSportCoin,0.0020,0.0005,0.0006,0.0010,0.0006,0.0006,0.0007,0.0010,0.0011,0.0059,0.0149
MESSE TOKEN,0.0194,0.0138,0.0164,0.0295,0.0170,0.0168,0.0205,0.0292,0.0310,0.1741,0.4402
Filecoin [Futures],5.98,2.81,3.35,6.02,3.46,3.43,4.18,5.94,6.31,35.46,89.69
RSK Smart Bitcoin,7902.11,3623.48,4312.05,7754.89,4455.68,4418.06,5386.86,7656.11,8128.38,45680.19,115528.50
ValueChain,0.0084,0.0066,0.0079,0.0142,0.0082,0.0081,0.0099,0.0140,0.0149,0.0837,0.2116
